config,archetype,cohort,setting,n,power
base,Leaky POD/POI,all,medium,2000,0.9294
base,Leaky POD/POI,all,medium,2500,0.9738
base,Leaky POD/POI,all,medium,3000,0.9902
base,Leaky POD/POI,all,medium,3500,0.9964
base,Leaky POD/POI,all,medium,4000,0.9982
base,Leaky POD/POI,all,medium,4500,1
base,Leaky POD/POI,all,medium,5000,1
base,Leaky POD/POI,all,high,50,0.155
base,Leaky POD/POI,all,high,75,0.272
base,Leaky POD/POI,all,high,100,0.388
base,Leaky POD/POI,all,high,125,0.4912
base,Leaky POD/POI,all,high,150,0.5668
base,Leaky POD/POI,all,high,175,0.6464
base,Leaky POD/POI,all,high,200,0.7228
base,Leaky POD/POI,all,high,250,0.8312
base,Leaky POD/POI,all,high,325,0.9168
base,Leaky POD/POI,all,high,400,0.9642
base,Leaky POD/POI,all,high,500,0.9878
base,Leaky POD/POI,all,high,750,0.9994
base,Leaky POD/POI,all,high,1000,1
base,Leaky POD/POI,all,high,1500,1
base,Leaky POD/POI,all,high,2000,1
base,Leaky POD/POI,all,high,2500,1
base,Leaky POD/POI,all,high,3000,1
base,Leaky POD/POI,all,high,3500,1
base,Leaky POD/POI,all,high,4000,1
base,Leaky POD/POI,all,high,4500,1
base,Leaky POD/POI,all,high,5000,1
base,Leaky POD/POI,onlyneg,low,50,0
base,Leaky POD/POI,onlyneg,low,75,0
base,Leaky POD/POI,onlyneg,low,100,0
base,Leaky POD/POI,onlyneg,low,125,0
base,Leaky POD/POI,onlyneg,low,150,2e-4
base,Leaky POD/POI,onlyneg,low,175,8e-4
base,Leaky POD/POI,onlyneg,low,200,0.0018
base,Leaky POD/POI,onlyneg,low,250,0.004
base,Leaky POD/POI,onlyneg,low,325,0.0124
base,Leaky POD/POI,onlyneg,low,400,0.0292
base,Leaky POD/POI,onlyneg,low,500,0.0474
base,Leaky POD/POI,onlyneg,low,750,0.1342
base,Leaky POD/POI,onlyneg,low,1000,0.2328
base,Leaky POD/POI,onlyneg,low,1500,0.427
base,Leaky POD/POI,onlyneg,low,2000,0.5712
base,Leaky POD/POI,onlyneg,low,2500,0.6896
base,Leaky POD/POI,onlyneg,low,3000,0.7754
base,Leaky POD/POI,onlyneg,low,3500,0.8512
base,Leaky POD/POI,onlyneg,low,4000,0.8974
base,Leaky POD/POI,onlyneg,low,4500,0.936
base,Leaky POD/POI,onlyneg,low,5000,0.9574
base,Leaky POD/POI,onlyneg,medium,50,4e-4
base,Leaky POD/POI,onlyneg,medium,75,0.0018
base,Leaky POD/POI,onlyneg,medium,100,0.0052
base,Leaky POD/POI,onlyneg,medium,125,0.013
base,Leaky POD/POI,onlyneg,medium,150,0.023
base,Leaky POD/POI,onlyneg,medium,175,0.0504
base,Leaky POD/POI,onlyneg,medium,200,0.0694
base,Leaky POD/POI,onlyneg,medium,250,0.1208
base,Leaky POD/POI,onlyneg,medium,325,0.1962
base,Leaky POD/POI,onlyneg,medium,400,0.2832
base,Leaky POD/POI,onlyneg,medium,500,0.3952
base,Leaky POD/POI,onlyneg,medium,750,0.6048
base,Leaky POD/POI,onlyneg,medium,1000,0.75
base,Leaky POD/POI,onlyneg,medium,1500,0.9186
base,Leaky POD/POI,onlyneg,medium,2000,0.9762
base,Leaky POD/POI,onlyneg,medium,2500,0.9914
base,Leaky POD/POI,onlyneg,medium,3000,0.9984
base,Leaky POD/POI,onlyneg,medium,3500,1
base,Leaky POD/POI,onlyneg,medium,4000,0.9998
base,Leaky POD/POI,onlyneg,medium,4500,1
base,Leaky POD/POI,onlyneg,medium,5000,1
base,Leaky POD/POI,onlyneg,high,50,0.2652
base,Leaky POD/POI,onlyneg,high,75,0.4368
base,Leaky POD/POI,onlyneg,high,100,0.592
base,Leaky POD/POI,onlyneg,high,125,0.7018
base,Leaky POD/POI,onlyneg,high,150,0.7864
base,Leaky POD/POI,onlyneg,high,175,0.8548
base,Leaky POD/POI,onlyneg,high,200,0.8978
base,Leaky POD/POI,onlyneg,high,250,0.9598
base,Leaky POD/POI,onlyneg,high,325,0.9896
base,Leaky POD/POI,onlyneg,high,400,0.9974
base,Leaky POD/POI,onlyneg,high,500,1
base,Leaky POD/POI,onlyneg,high,750,1
base,Leaky POD/POI,onlyneg,high,1000,1
base,Leaky POD/POI,onlyneg,high,1500,1
base,Leaky POD/POI,onlyneg,high,2000,1
base,Leaky POD/POI,onlyneg,high,2500,1
base,Leaky POD/POI,onlyneg,high,3000,1
base,Leaky POD/POI,onlyneg,high,3500,1
base,Leaky POD/POI,onlyneg,high,4000,1
base,Leaky POD/POI,onlyneg,high,4500,1
base,Leaky POD/POI,onlyneg,high,5000,1
base,Leaky POI,onlypos,low,50,6e-4
base,Leaky POI,onlypos,low,75,0.0016
base,Leaky POI,onlypos,low,100,0.006
base,Leaky POI,onlypos,low,125,0.0066
base,Leaky POI,onlypos,low,150,0.0122
base,Leaky POI,onlypos,low,175,0.0126
base,Leaky POI,onlypos,low,200,0.016
base,Leaky POI,onlypos,low,250,0.0192
base,Leaky POI,onlypos,low,325,0.0228
base,Leaky POI,onlypos,low,400,0.0216
base,Leaky POI,onlypos,low,500,0.0318
base,Leaky POI,onlypos,low,750,0.0376
base,Leaky POI,onlypos,low,1000,0.0344
base,Leaky POI,onlypos,low,1500,0.039
base,Leaky POI,onlypos,low,2000,0.0402
base,Leaky POI,onlypos,low,2500,0.0426
base,Leaky POI,onlypos,low,3000,0.043
base,Leaky POI,onlypos,low,3500,0.0366
base,Leaky POI,onlypos,low,4000,0.0378
base,Leaky POI,onlypos,low,4500,0.04
base,Leaky POI,onlypos,low,5000,0.0376
base,Leaky POI,onlypos,medium,50,0.0014
base,Leaky POI,onlypos,medium,75,0.004
base,Leaky POI,onlypos,medium,100,0.009
base,Leaky POI,onlypos,medium,125,0.0118
base,Leaky POI,onlypos,medium,150,0.0172
base,Leaky POI,onlypos,medium,175,0.0184
base,Leaky POI,onlypos,medium,200,0.0198
base,Leaky POI,onlypos,medium,250,0.0218
base,Leaky POI,onlypos,medium,325,0.028
base,Leaky POI,onlypos,medium,400,0.0324
base,Leaky POI,onlypos,medium,500,0.036
base,Leaky POI,onlypos,medium,750,0.038
base,Leaky POI,onlypos,medium,1000,0.0378
base,Leaky POI,onlypos,medium,1500,0.0436
base,Leaky POI,onlypos,medium,2000,0.0446
base,Leaky POI,onlypos,medium,2500,0.0502
base,Leaky POI,onlypos,medium,3000,0.0506
base,Leaky POI,onlypos,medium,3500,0.059
base,Leaky POI,onlypos,medium,4000,0.0602
base,Leaky POI,onlypos,medium,4500,0.0638
base,Leaky POI,onlypos,medium,5000,0.0686
base,Leaky POI,onlypos,high,50,0.03
base,Leaky POI,onlypos,high,75,0.0354
base,Leaky POI,onlypos,high,100,0.0466
base,Leaky POI,onlypos,high,125,0.0538
base,Leaky POI,onlypos,high,150,0.0616
base,Leaky POI,onlypos,high,175,0.0748
base,Leaky POI,onlypos,high,200,0.0794
base,Leaky POI,onlypos,high,250,0.0884
base,Leaky POI,onlypos,high,325,0.1242
base,Leaky POI,onlypos,high,400,0.1502
base,Leaky POI,onlypos,high,500,0.1824
base,Leaky POI,onlypos,high,750,0.2588
base,Leaky POI,onlypos,high,1000,0.3318
base,Leaky POI,onlypos,high,1500,0.478
base,Leaky POI,onlypos,high,2000,0.6108
base,Leaky POI,onlypos,high,2500,0.7092
base,Leaky POI,onlypos,high,3000,0.7876
base,Leaky POI,onlypos,high,3500,0.8592
base,Leaky POI,onlypos,high,4000,0.8888
base,Leaky POI,onlypos,high,4500,0.9206
base,Leaky POI,onlypos,high,5000,0.948
base,Leaky POI,all,low,50,2e-4
base,Leaky POI,all,low,75,0
base,Leaky POI,all,low,100,0.001
base,Leaky POI,all,low,125,6e-4
base,Leaky POI,all,low,150,0.003
base,Leaky POI,all,low,175,0.0036
base,Leaky POI,all,low,200,0.006
base,Leaky POI,all,low,250,0.0146
base,Leaky POI,all,low,325,0.0206
base,Leaky POI,all,low,400,0.023
base,Leaky POI,all,low,500,0.0264
base,Leaky POI,all,low,750,0.0388
base,Leaky POI,all,low,1000,0.0456
base,Leaky POI,all,low,1500,0.0568
base,Leaky POI,all,low,2000,0.069
base,Leaky POI,all,low,2500,0.0848
base,Leaky POI,all,low,3000,0.0948
base,Leaky POI,all,low,3500,0.1092
base,Leaky POI,all,low,4000,0.1222
base,Leaky POI,all,low,4500,0.1354
base,Leaky POI,all,low,5000,0.1444
base,Leaky POI,all,medium,50,2e-4
base,Leaky POI,all,medium,75,0.0038
base,Leaky POI,all,medium,100,0.0084
base,Leaky POI,all,medium,125,0.0112
base,Leaky POI,all,medium,150,0.0142
base,Leaky POI,all,medium,175,0.0188
base,Leaky POI,all,medium,200,0.0212
base,Leaky POI,all,medium,250,0.0292
base,Leaky POI,all,medium,325,0.0332
base,Leaky POI,all,medium,400,0.0452
base,Leaky POI,all,medium,500,0.05
base,Leaky POI,all,medium,750,0.0716
base,Leaky POI,all,medium,1000,0.0846
base,Leaky POI,all,medium,1500,0.1224
base,Leaky POI,all,medium,2000,0.1594
base,Leaky POI,all,medium,2500,0.1956
base,Leaky POI,all,medium,3000,0.233
base,Leaky POI,all,medium,3500,0.2692
base,Leaky POI,all,medium,4000,0.311
base,Leaky POI,all,medium,4500,0.3398
base,Leaky POI,all,medium,5000,0.3744
base,Leaky POI,all,high,50,0.0402
base,Leaky POI,all,high,75,0.0562
base,Leaky POI,all,high,100,0.067
base,Leaky POI,all,high,125,0.0886
base,Leaky POI,all,high,150,0.0942
base,Leaky POI,all,high,175,0.1212
base,Leaky POI,all,high,200,0.1358
base,Leaky POI,all,high,250,0.1592
base,Leaky POI,all,high,325,0.2048
base,Leaky POI,all,high,400,0.2544
base,Leaky POI,all,high,500,0.3144
base,Leaky POI,all,high,750,0.4634
base,Leaky POI,all,high,1000,0.5874
base,Leaky POI,all,high,1500,0.7734
base,Leaky POI,all,high,2000,0.8792
base,Leaky POI,all,high,2500,0.9394
base,Leaky POI,all,high,3000,0.9686
base,Leaky POI,all,high,3500,0.9862
base,Leaky POI,all,high,4000,0.992
base,Leaky POI,all,high,4500,0.9968
base,Leaky POI,all,high,5000,0.9984
base,Leaky POI,onlyneg,low,50,0
base,Leaky POI,onlyneg,low,75,0
base,Leaky POI,onlyneg,low,100,0
base,Leaky POI,onlyneg,low,125,0
base,Leaky POI,onlyneg,low,150,2e-4
base,Leaky POI,onlyneg,low,175,6e-4
base,Leaky POI,onlyneg,low,200,0.0012
base,Leaky POI,onlyneg,low,250,0.003
base,Leaky POI,onlyneg,low,325,0.007
base,Leaky POI,onlyneg,low,400,0.0132
base,Leaky POI,onlyneg,low,500,0.022
base,Leaky POI,onlyneg,low,750,0.0534
base,Leaky POI,onlyneg,low,1000,0.0942
base,Leaky POI,onlyneg,low,1500,0.1718
base,Leaky POI,onlyneg,low,2000,0.2172
base,Leaky POI,onlyneg,low,2500,0.285
base,Leaky POI,onlyneg,low,3000,0.3488
base,Leaky POI,onlyneg,low,3500,0.4204
base,Leaky POI,onlyneg,low,4000,0.4822
base,Leaky POI,onlyneg,low,4500,0.5332
base,Leaky POI,onlyneg,low,5000,0.571
base,Leaky POI,onlyneg,medium,50,0
base,Leaky POI,onlyneg,medium,75,0.0012
base,Leaky POI,onlyneg,medium,100,0.0056
base,Leaky POI,onlyneg,medium,125,0.0066
base,Leaky POI,onlyneg,medium,150,0.015
base,Leaky POI,onlyneg,medium,175,0.0264
base,Leaky POI,onlyneg,medium,200,0.0348
base,Leaky POI,onlyneg,medium,250,0.0506
base,Leaky POI,onlyneg,medium,325,0.0764
base,Leaky POI,onlyneg,medium,400,0.109
base,Leaky POI,onlyneg,medium,500,0.1482
base,Leaky POI,onlyneg,medium,750,0.2342
base,Leaky POI,onlyneg,medium,1000,0.3272
base,Leaky POI,onlyneg,medium,1500,0.4926
base,Leaky POI,onlyneg,medium,2000,0.6268
base,Leaky POI,onlyneg,medium,2500,0.7336
base,Leaky POI,onlyneg,medium,3000,0.812
base,Leaky POI,onlyneg,medium,3500,0.8662
base,Leaky POI,onlyneg,medium,4000,0.9176
base,Leaky POI,onlyneg,medium,4500,0.944
base,Leaky POI,onlyneg,medium,5000,0.9644
base,Leaky POI,onlyneg,high,50,0.0776
base,Leaky POI,onlyneg,high,75,0.1182
base,Leaky POI,onlyneg,high,100,0.1512
base,Leaky POI,onlyneg,high,125,0.1842
base,Leaky POI,onlyneg,high,150,0.236
base,Leaky POI,onlyneg,high,175,0.27
base,Leaky POI,onlyneg,high,200,0.312
base,Leaky POI,onlyneg,high,250,0.3934
base,Leaky POI,onlyneg,high,325,0.4902
base,Leaky POI,onlyneg,high,400,0.5806
base,Leaky POI,onlyneg,high,500,0.686
base,Leaky POI,onlyneg,high,750,0.863
base,Leaky POI,onlyneg,high,1000,0.9482
base,Leaky POI,onlyneg,high,1500,0.9922
base,Leaky POI,onlyneg,high,2000,0.999
base,Leaky POI,onlyneg,high,2500,0.9998
base,Leaky POI,onlyneg,high,3000,1
base,Leaky POI,onlyneg,high,3500,1
base,Leaky POI,onlyneg,high,4000,1
base,Leaky POI,onlyneg,high,4500,1
base,Leaky POI,onlyneg,high,5000,1
